iteration,question_idx,question,answer,expected_answer,expected_category,keywords,evaluation_notes,relevancy_score,faithfulness_score,response_time,chunk_size,chunk_overlap,similarity_top_k,system_prompt
1,10,I bought a car but my lease return isn't until next week. How do you handle overlapping vehicles?,"When you have overlapping vehicles due to a new car purchase and a pending lease return, here's how we handle it to ensure continuous coverage:

1. **Automatic Coverage**: Your new car is automatically covered for 30 days, so you have time to update your policy without any immediate changes needed.

2. **Old Leased Vehicle**: Your old leased vehicle will remain on your policy until you confirm that it has been returned. This ensures that you have continuous coverage for both vehicles during the overlap period.

3. **Documentation for the New Car**:
   - **Bill of Sale or Purchase Order**: Please send us a copy of this document for the new car.
   - **Lease Agreement**: If applicable, provide a copy of the lease agreement for the new vehicle.
   - **Registration Information**: Let us know if the new car will be registered in your state.

4. **Sending Documents**: You can send all necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

By following these steps, you'll ensure that both your old and new vehicles are properly covered during this transition period. If you have any questions or need further assistance, feel free to reach out. We're here to help make this process as smooth and stress-free as possible for you!",Please send the bill of sale for your new vehicle. Let us know when you return the leased vehicle - we won't remove it from your policy until you confirm it's no longer in your possession.,Vehicle Change,"overlapping vehicles, timing, lease return",Should explain policy of keeping both until lease returned,1.0,1.0,3.49711012840271,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,11,My insurance card shows my old car but I need proof for my new one. How can I get this?,"To get proof of insurance for your new car, here's what you can do:

1. **Send the Purchase Order**: Email us the purchase order for your new car at [service@chartwellins.com](mailto:service@chartwellins.com). This will allow us to prepare and update your insurance documentation to reflect your new vehicle.

2. **Request Updated Insurance Card**: Once we have the purchase order, we can issue an updated insurance card that includes your new car's details.

3. **Dealer Contact**: If needed, you can also have your dealer contact us directly. We can coordinate with them to ensure they receive the proof of insurance promptly.

Once we receive the necessary information, we'll expedite the process to get you the updated proof of insurance you need.

If you have any more questions or need further assistance, please let us know. We're here to help make this process as smooth as possible for you!",Please send us the purchase order or bill of sale and we can provide proof of coverage for your new vehicle. You can also have the dealer contact us directly at service@chartwellins.com.,Vehicle Change,"insurance card, new car proof, documentation",Should explain how to get updated proof with purchase documentation,1.0,1.0,3.8994269371032715,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,12,What's the process for insurance when I buy a car from a private seller versus a dealer?,"When buying a car, whether from a private seller or a dealer, the insurance process involves a few key steps. Here's how it typically works for each scenario:

### Buying from a Dealer:
1. **Automatic Coverage**: You have 30 days of automatic coverage for newly acquired vehicles, so you're protected during this period.
2. **Proof of Insurance**: Dealers often require proof of insurance before releasing the car. You can:
   - Send us the purchase order, and we can provide proof of coverage.
   - Have the dealer contact us directly at [service@chartwellins.com](mailto:service@chartwellins.com) to coordinate the proof of insurance.
3. **Documentation**: Provide us with the bill of sale or purchase order, registration information, and any lease or loan details.

### Buying from a Private Seller:
1. **Automatic Coverage**: Similar to buying from a dealer, you have 30 days of automatic coverage for newly acquired vehicles.
2. **Documentation**: Send us the bill of sale, which serves as proof of purchase. Also, provide registration information and any lease or loan details if applicable.
3. **Contact Information**: Email all necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

In both cases, these steps ensure that your new vehicle is properly covered and that you have the necessary proof of insurance. If you have any questions or need further assistance, feel free to reach out. We're here to help make this process as smooth and stress-free as possible for you!","The documentation requirements are the same - we need the bill of sale, information about lease or loan, and registration state. With dealers, we can coordinate directly for proof of insurance. With private sellers, you'll need to provide all documentation to service@chartwellins.com.",Vehicle Change,"private seller vs dealer, process differences",Should explain documentation requirements may be similar but dealer coordination differs,1.0,1.0,8.93270206451416,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,13,I'm financing my new car. Does this change what insurance information you need?,"When you're financing a new car, there are a few additional details we need to ensure your insurance coverage aligns with the lender's requirements:

1. **Loan Information**: Provide details about the loan, including the lender's name and contact information. This helps us ensure that the insurance policy meets the lender's requirements.

2. **Bill of Sale or Purchase Order**: As with any new vehicle purchase, please send us a copy of this document.

3. **Registration Information**: Let us know if the car will be registered in your state.

4. **Coverage Requirements**: Lenders typically require comprehensive and collision coverage. Make sure your policy includes these coverages to satisfy the lender's requirements.

Please send all the necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

These steps help us update your policy accurately and ensure continuous coverage for your financed vehicle. If you have any questions or need further assistance, feel free to reach out. We're here to help make this process as smooth and stress-free as possible for you!","Yes, please include information about the loan when you send us the bill of sale. We need to know if there is a lease or a loan on the vehicle. Send all documentation to service@chartwellins.com.",Vehicle Change,"financing, loan information, requirements",Should mention need for loan information in documentation,1.0,1.0,3.5782392024993896,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,14,Can I drive my new car off the lot before you officially add it to my policy?,"Yes, you can drive your new car off the lot before it is officially added to your policy, thanks to the 30 days of automatic coverage for newly acquired vehicles. This automatic coverage ensures that you are protected while you gather and submit the necessary documentation to officially add the vehicle to your policy.

Here's what you should do to ensure everything is in order:

1. **Proof of Insurance**: If the dealer requires proof of insurance before you can take the car, send us the purchase order, and we can provide the necessary documentation. Alternatively, have the dealer contact us directly at [service@chartwellins.com](mailto:service@chartwellins.com).

2. **Documentation**: Within the 30-day period, please provide us with the bill of sale or purchase order, registration information, and any lease or loan details.

3. **Contact Us**: Send all necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com) to ensure your policy is updated promptly.

If you have any questions or need further assistance, feel free to reach out. We're here to help make this process as smooth and stress-free as possible for you!","Yes, there is 30 days of automatic coverage for newly acquired vehicles, so you can drive the car. However, please send us the bill of sale and other required documentation as soon as possible.",Vehicle Change,"driving new car, policy timing, coverage confirmation",Should explain 30-day automatic coverage allows this,1.0,1.0,4.095784902572632,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,15,What happens if I don't send you the new car paperwork within the 30-day coverage period?,"If you don't send us the new car paperwork within the 30-day automatic coverage period, there could be a risk of a lapse in coverage for your new vehicle. Here's what you need to know:

1. **Coverage Lapse**: After the 30-day period, if the vehicle is not officially added to your policy, it may not be covered in the event of an accident or other incidents. This could leave you financially responsible for any damages or liabilities.

2. **Importance of Timely Submission**: To avoid any gaps in coverage, it's important to submit the necessary documentation as soon as possible. This includes:
   - **Bill of Sale or Purchase Order**: Proof of your purchase.
   - **Registration Information**: Details about where the vehicle will be registered.
   - **Lease or Loan Information**: If applicable, details about any financing arrangements.

3. **Contact Information**: Please send all documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

If you're approaching the end of the 30-day period and haven't yet submitted the paperwork, please reach out to us as soon as possible. We're here to help ensure your new vehicle is properly covered and to assist you with any questions or concerns you may have.","It's important to send the required documentation within the 30-day automatic coverage period to ensure continuous coverage. Please send the bill of sale, lease/loan information, and registration state to service@chartwellins.com promptly.",Vehicle Change,"30-day period, paperwork deadline, consequences",Should explain importance of timely documentation,1.0,1.0,5.220599889755249,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,16,I'm replacing a totaled car with a new purchase. Is the process different?,"When replacing a totaled car with a new purchase, the process is slightly different due to the circumstances of the replacement. Here's what you need to do:

1. **Automatic Coverage**: You still have 30 days of automatic coverage for your newly acquired vehicle, ensuring you're protected during this transition.

2. **Documentation for the New Car**:
   - **Bill of Sale or Purchase Order**: Please send us a copy of this document for the new car.
   - **Registration Information**: Let us know if the new car will be registered in your state.
   - **Lease or Loan Information**: If applicable, provide details about any financing arrangements.

3. **Handling the Totaled Car**:
   - **Claim Process**: Ensure that the claim for the totaled car is fully processed. If you haven't already, contact us to confirm the status of your claim.
   - **Policy Adjustment**: Once the claim is settled, we can adjust your policy to remove the totaled vehicle and add the new one.

4. **Sending Documents**: Please send all necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

By following these steps, you'll ensure that your new vehicle is properly covered and that your policy reflects the changes accurately. If you have any questions or need further assistance, feel free to reach out. We're here to help make this process as smooth and stress-free as possible for you!","The new car process is the same - 30 days automatic coverage and we need the bill of sale, lease/loan info, and registration state. The totaled vehicle will be handled through the claims process. Send new car documentation to service@chartwellins.com.",Vehicle Change,"totaled car replacement, claims process",Should address both removal of totaled car and new car addition,1.0,1.0,4.918251991271973,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,17,Do I need different coverage amounts for my new car compared to my old one?,"When you purchase a new car, it's a good time to review your coverage amounts to ensure they meet your needs and any new requirements. Here are some considerations:

1. **Lender Requirements**: If your new car is financed, the lender may require specific coverage amounts, typically including comprehensive and collision coverage. Check with your lender to understand their requirements.

2. **Value of the New Car**: A new car may have a higher value than your old one, which could affect the amount of coverage you need. Consider whether your current coverage limits are sufficient to protect your new investment.

3. **Personal Preferences**: Review your deductible amounts and coverage options (such as liability, uninsured motorist, and personal injury protection) to ensure they align with your financial situation and risk tolerance.

4. **Consultation**: If you're unsure about the appropriate coverage amounts, feel free to reach out to us. We can help you assess your needs and adjust your policy accordingly.

If you decide to make changes to your coverage, please contact us at [service@chartwellins.com](mailto:service@chartwellins.com) or give us a call. We're here to help ensure your new vehicle is adequately protected and that you have peace of mind on the road.",This depends on the value and features of your new car compared to your old one. Please send us the vehicle information and we can review your coverage to ensure it's adequate for your new vehicle.,Coverage Analysis,"coverage amounts, vehicle comparison, policy limits",Should reference policy documents and coverage analysis,1.0,1.0,4.8069891929626465,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,18,What should I do if my new car is more expensive than my old one?,"If your new car is more expensive than your old one, it's important to review and possibly adjust your insurance coverage to ensure it adequately protects your new investment. Here are some steps you can take:

1. **Review Coverage Limits**: Check your current policy's coverage limits, especially for comprehensive and collision coverage. You may need to increase these limits to match the higher value of your new car.

2. **Consider Gap Insurance**: If your new car is financed or leased, consider adding gap insurance. This coverage helps pay the difference between the car's actual cash value and the remaining balance on your loan or lease if the car is totaled.

3. **Evaluate Deductibles**: Review your deductible amounts for comprehensive and collision coverage. A higher deductible can lower your premium, but make sure it's an amount you can afford to pay out of pocket in the event of a claim.

4. **Check Lender Requirements**: If your car is financed, verify any specific insurance requirements from your lender, such as minimum coverage amounts.

5. **Consult with Us**: Feel free to reach out to us for a personalized review of your policy. We can help you assess your coverage needs and make any necessary adjustments to ensure your new car is fully protected.

To make changes or discuss your options, please contact us at [service@chartwellins.com](mailto:service@chartwellins.com) or give us a call. We're here to help you navigate these changes and provide peace of mind with your new vehicle.",Please send us the vehicle information including the purchase price. We should review your coverage limits to make sure they're adequate for the increased value of your new vehicle.,Coverage Analysis,"vehicle value increase, coverage adequacy",Should suggest reviewing coverage limits and policy terms,1.0,1.0,5.429978132247925,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,19,How do I know if my current policy covers all the features of my new car?,"To ensure your current policy covers all the features of your new car, you can take the following steps:

1. **Review Your Policy**: Look at your current policy details, focusing on coverage types like comprehensive, collision, liability, and any additional coverages you may have. Compare these with the features and value of your new car.

2. **Consider New Features**: If your new car has advanced features such as high-tech safety systems, custom parts, or luxury upgrades, you may need additional coverage to protect these enhancements.

3. **Check Coverage Limits**: Ensure that your coverage limits are sufficient to cover the full value of your new car, including any special features or customizations.

4. **Consult with Us**: Reach out to us for a detailed review of your policy. We can help you assess whether your current coverage is adequate for your new car's features and suggest any necessary adjustments.

5. **Additional Coverages**: Consider optional coverages like gap insurance, roadside assistance, or rental reimbursement if they are relevant to your new car's features and your personal needs.

To discuss your policy and ensure it meets your needs, please contact us at [service@chartwellins.com](mailto:service@chartwellins.com) or give us a call. We're here to help you navigate these changes and provide peace of mind with your new vehicle.",Please send us the details about your new vehicle's features and we can review your policy to ensure all features are properly covered. Contact service@chartwellins.com with the vehicle information.,Coverage Analysis,"policy coverage, new car features, adequacy review",Should reference policy documents and suggest coverage review,1.0,1.0,6.242904186248779,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,20,What insurance documents should I keep in my new car?,"Keeping the right insurance documents in your new car is important for quick access in case of an accident or when proof of insurance is needed. Here's what you should have:

1. **Insurance Card**: This card provides proof of insurance and includes essential information such as your policy number, coverage details, and contact information for Chartwell Insurance. It's often required by law to have this in your vehicle.

2. **Vehicle Registration**: While not an insurance document, it's important to keep your vehicle registration in the car as it is often requested alongside proof of insurance.

3. **Contact Information**: Keep a list of important contact numbers, including our customer service line, roadside assistance (if applicable), and any emergency contacts.

4. **Accident Information Form**: Having a form to record details in the event of an accident can be very helpful. This can include spaces to note the date, time, location, and details of the incident, as well as information about other parties involved.

5. **Policy Summary**: While not necessary to keep in the car, having a summary of your policy at home can be useful for quick reference to understand your coverage limits and deductibles.

Make sure these documents are stored in a safe and easily accessible place within your vehicle, such as the glove compartment. If you need a new insurance card or have any questions about your documents, feel free to contact us at [service@chartwellins.com](mailto:service@chartwellins.com) or give us a call. We're here to help ensure you have everything you need for peace of mind on the road.","You should keep your current insurance card in the vehicle. Once we process your new vehicle paperwork, we'll provide you with updated documentation if needed.",General Insurance,"required documents, vehicle documentation",Should reference policy requirements for vehicle documentation,1.0,1.0,6.5398359298706055,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,21,Who should I contact if I have questions after adding my new car?,"If you have questions after adding your new car to your insurance policy, you can reach out to us in several ways:

1. **Email**: You can send your questions to [service@chartwellins.com](mailto:service@chartwellins.com). Our team will respond promptly to assist you with any inquiries or concerns.

2. **Phone**: Call our customer service line for immediate assistance. Our representatives are available to help you with any questions about your policy, coverage, or any other concerns you may have.

3. **Online Portal**: If you have access to our online customer portal, you can log in to view your policy details, make changes, or send messages directly to our support team.

4. **Agent**: If you have a specific insurance agent assigned to your account, you can contact them directly for personalized assistance.

We're here to ensure that your experience with us is smooth and that you feel supported throughout the process. Don't hesitate to reach out with any questions or concerns you may have!",Please contact us at service@chartwellins.com for any questions about your new vehicle or policy changes.,Customer Service,"contact information, follow-up questions",Should provide service@chartwellins.com and explain availability,1.0,1.0,3.380422830581665,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,22,Can you explain why you need to know what state my car will be registered in?,"Knowing the state in which your car will be registered is important for several reasons related to your insurance policy:

1. **State Regulations**: Each state has its own insurance requirements and regulations, including minimum coverage limits and specific types of coverage that must be included in your policy. Knowing the state helps us ensure that your policy complies with these local laws.

2. **Premium Calculations**: Insurance premiums can vary significantly from state to state due to factors such as local accident rates, weather conditions, and legal requirements. The state of registration helps us accurately calculate your premium based on these factors.

3. **Coverage Options**: Some states offer specific coverage options or endorsements that may be beneficial to you. By knowing your state, we can provide you with the most relevant options and recommendations.

4. **Claims Handling**: In the event of a claim, the state of registration can affect how claims are processed and settled, as different states have different procedures and timelines.

Providing us with the correct state of registration ensures that your insurance policy is tailored to meet your needs and complies with all applicable laws. If you have any questions or need further clarification, feel free to reach out. We're here to help!",Different states have different insurance requirements and regulations. We need to know the registration state to ensure your coverage meets that state's minimum requirements and complies with local laws.,Policy Requirements,"state registration, regulatory requirements",Should explain state-specific insurance requirements and regulations,1.0,1.0,5.018296003341675,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,23,What's the difference between automatic coverage and being officially added to the policy?,"The difference between automatic coverage and being officially added to the policy involves the duration and formalization of your insurance coverage:

1. **Automatic Coverage**:
   - **Temporary Protection**: Automatic coverage provides temporary insurance protection for newly acquired vehicles. This typically lasts for 30 days from the date of purchase.
   - **Immediate Coverage**: It ensures that you have immediate coverage while you gather and submit the necessary documentation to officially add the vehicle to your policy.
   - **Limited Time Frame**: This coverage is designed to prevent any gaps in protection during the transition period when you acquire a new vehicle.

2. **Being Officially Added to the Policy**:
   - **Permanent Coverage**: Once your new vehicle is officially added to your policy, it becomes a permanent part of your insurance coverage.
   - **Documentation Required**: To officially add the vehicle, you'll need to provide documentation such as the bill of sale or purchase order, registration information, and any lease or loan details.
   - **Policy Update**: Your policy is updated to reflect the new vehicle, including any changes in coverage limits, deductibles, or premiums that may be necessary.

In summary, automatic coverage provides immediate, temporary protection, while officially adding the vehicle to your policy ensures long-term, formalized coverage. It's important to complete the process of officially adding the vehicle within the automatic coverage period to avoid any lapses in protection. If you have any questions or need assistance with this process, feel free to reach out. We're here to help!","Automatic coverage is temporary protection for 30 days while you get us the required paperwork. Official addition to the policy happens when we receive and process your bill of sale, lease/loan information, and registration state documentation.",Policy Understanding,"automatic vs official coverage, policy mechanics",Should explain temporary vs permanent coverage and documentation importance,1.0,1.0,5.2202160358428955,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,24,I'm moving to a different state after buying my new car. How does this affect my insurance?,"Moving to a different state after buying a new car can affect your insurance in several ways. Here's what you need to consider:

1. **State Insurance Requirements**: Each state has its own minimum insurance requirements and regulations. You'll need to ensure that your policy meets the new state's requirements, which may involve adjusting your coverage limits or adding specific types of coverage.

2. **Premium Adjustments**: Insurance premiums can vary significantly between states due to factors such as local accident rates, weather conditions, and legal requirements. Moving to a new state may result in changes to your premium.

3. **Registration and Title**: You'll need to register your car in the new state and obtain a new title. This process often requires proof of insurance that meets the new state's requirements.

4. **Policy Update**: Contact us to update your policy with your new address and state of registration. This ensures that your coverage is accurate and compliant with local laws.

5. **Local Coverage Options**: Some states offer specific coverage options or endorsements that may be beneficial to you. We can help you explore these options to ensure you have the best protection.

To make these changes and ensure your policy is up-to-date, please contact us at [service@chartwellins.com](mailto:service@chartwellins.com) or give us a call. We're here to help you navigate the transition and ensure your insurance coverage meets your needs in your new state.","You'll need to send us the new car documentation (bill of sale, lease/loan info) and also inform us about the state change since different states have different insurance requirements. Please send all information to service@chartwellins.com.",Complex Scenario,"state change, relocation, new vehicle",Should address both new vehicle process and state change requirements,1.0,1.0,4.710131883621216,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
